TRIP_SET,TRIP,SET_NO,TRIP_ID,BOARD_DATE,LATITUDE,LONGITUDE,year,month,Code6600.wgt,Code6600.no,STATION,BOTTOM_TEMPERATURE,DEPTH
S01092011.11,S01092011,11,100035637,2011-08-31 23:00,46.9675,-59.998,2011,8,0,0,165,5.108029197,172
S01092011.13,S01092011,13,100035637,2011-08-31 23:00,46.82733,-60.143,2011,8,0,0,185,4.084962406,157
S01092011.2,S01092011,2,100035637,2011-08-31 23:00,47,-60.26283,2011,8,0,0,168,2.596899225,97
S01092011.3,S01092011,3,100035637,2011-08-31 23:00,47.076,-60.37017,2011,8,0,0,167,3.234920635,156
S01092011.6,S01092011,6,100035637,2011-08-31 23:00,47.241,-60.25533,2011,8,0,0,614,6.227272727,210
S01092011.7,S01092011,7,100035637,2011-08-31 23:00,47.296,-60.16867,2011,8,0,0,333,5.687719298,284
S01092011.8,S01092011,8,100035637,2011-08-31 23:00,47.1655,-60.05317,2011,8,0,0,334,5.708227848,293
S01092011.9,S01092011,9,100035637,2011-08-31 23:00,47.03583,-60.04917,2011,8,0,0,163,5.955319149,229
S01092013.11,S01092013,11,100041737,2013-08-31 23:00,46.973,-60.00633,2013,8,25.02036639,250.2036639,165,4.727243511,172
S01092013.12,S01092013,12,100041737,2013-08-31 23:00,47.03683,-60.04933,2013,8,0,0,163,5.384413636,231
S01092013.14,S01092013,14,100041737,2013-08-31 23:00,47.17317,-60.0525,2013,8,0,0,334,5.893374497,291
S01092013.2,S01092013,2,100041737,2013-08-31 23:00,46.47067,-59.41467,2013,8,0,0,14,4.209878125,148
S01092013.4,S01092013,4,100041737,2013-08-31 23:00,46.545,-59.62417,2013,8,204.3801317,583.9432334,11,1.926270968,86
S01092013.5,S01092013,5,100041737,2013-08-31 23:00,46.65117,-59.56567,2013,8,0,0,178,4.885427907,104
S01092013.7,S01092013,7,100041737,2013-08-31 23:00,46.77383,-59.71333,2013,8,0,0,176,5.39876015,216
S01092018.1,S01092018,1,100052307,2018-08-31 23:00,45.602,-58.04583,2018,8,26.18757751,261.8757751,391,2.717346847,143
S01092018.10,S01092018,10,100052307,2018-08-31 23:00,45.00583,-57.81317,2018,8,817.2009649,1238.18328,411,2.667599038,68
S01092018.11,S01092018,11,100052307,2018-08-31 23:00,45.0405,-57.89567,2018,8,116.8427294,292.1068234,208,4.073451887,130
S01092018.12,S01092018,12,100052307,2018-08-31 23:00,44.95133,-57.90717,2018,8,0,0,802,3.07110708,68
S01092018.13,S01092018,13,100052307,2018-08-31 23:00,44.9555,-58.02767,2018,8,0,0,374,2.522590351,110
S01092018.14,S01092018,14,100052307,2018-08-31 23:00,44.8065,-58.1035,2018,8,113.3164924,849.8736933,368,3.012557407,73
S01092018.2,S01092018,2,100052307,2018-08-31 23:00,45.51367,-58.18883,2018,8,0,0,390,1.976616239,88
S01092018.3,S01092018,3,100052307,2018-08-31 23:00,45.48317,-58.13867,2018,8,0,0,386,1.9565375,115
S01092018.4,S01092018,4,100052307,2018-08-31 23:00,45.42867,-57.9635,2018,8,0,0,387,7.182386275,207
S01092018.5,S01092018,5,100052307,2018-08-31 23:00,45.30483,-57.93167,2018,8,380.7304263,1586.376776,382,2.754355172,134
S01092018.6,S01092018,6,100052307,2018-08-31 23:00,45.23033,-57.6985,2018,8,0,0,404,5.577162069,194
S01092018.7,S01092018,7,100052307,2018-08-31 23:00,45.11667,-57.60667,2018,8,0,0,403,7.701360169,196
S01092018.8,S01092018,8,100052307,2018-08-31 23:00,45.06883,-57.70083,2018,8,385.3548002,1284.516001,506,4.559075229,135
S01092018.9,S01092018,9,100052307,2018-08-31 23:00,45.113,-57.77267,2018,8,187.1434408,2620.008171,209,4.403366304,152
S01102007.1,S01102007,1,100024419,2007-09-30 23:00,43.47367,-61.07467,2007,9,0,0,824,3.883333333,70
S01102007.10,S01102007,10,100024419,2007-09-30 23:00,43.45967,-60.71467,2007,9,495.3839227,1125.872552,819,3.891472868,86
S01102007.11,S01102007,11,100024419,2007-09-30 23:00,43.433,-60.589,2007,9,41.16775599,411.6775599,518,5.315625,123
S01102007.12,S01102007,12,100024419,2007-09-30 23:00,43.4895,-60.61217,2007,9,313.9735301,837.2627469,818,3.932283465,81
S01102007.13,S01102007,13,100024419,2007-09-30 23:00,43.54183,-60.513,2007,9,139.1672085,2319.453476,817,3.975,70
S01102007.14,S01102007,14,100024419,2007-09-30 23:00,43.47817,-60.40183,2007,9,0,0,934,6.376229508,119
S01102007.2,S01102007,2,100024419,2007-09-30 23:00,43.42,-61.332,2007,9,685.5761233,1713.940308,826,3.595762712,73
S01102007.3,S01102007,3,100024419,2007-09-30 23:00,43.35317,-61.40083,2007,9,533.8282051,1482.856125,828,3.553174603,77
S01102007.4,S01102007,4,100024419,2007-09-30 23:00,43.19717,-61.33133,2007,9,0,0,515,7.501657459,253
S01102007.5,S01102007,5,100024419,2007-09-30 23:00,43.238,-61.22183,2007,9,0,0,516,8.014012739,214
S01102007.6,S01102007,6,100024419,2007-09-30 23:00,43.347,-61.08983,2007,9,0,0,520,4.390540541,113
S01102007.7,S01102007,7,100024419,2007-09-30 23:00,43.28483,-60.97867,2007,9,0,0,517,8.403846154,188
S01102007.8,S01102007,8,100024419,2007-09-30 23:00,43.3965,-60.91567,2007,9,0,0,519,3.490769231,97
S01102007.9,S01102007,9,100024419,2007-09-30 23:00,43.4835,-60.863,2007,9,0,0,822,3.869047619,68
S01102008.10,S01102008,10,100025877,2008-09-30 23:00,45.885,-58.52483,2008,9,0,0,371,4.193006993,210
S01102008.12,S01102008,12,100025877,2008-09-30 23:00,45.75983,-58.43067,2008,9,0,0,393,2.847712418,152
S01102008.3,S01102008,3,100025877,2008-09-30 23:00,46.218,-58.8995,2008,9,0,0,205,4.19924812,205
S01102008.4,S01102008,4,100025877,2008-09-30 23:00,46.26733,-59.082,2008,9,0,0,16,3.481818182,134
S01102008.5,S01102008,5,100025877,2008-09-30 23:00,46.15017,-58.98167,2008,9,0,0,511,2.882876712,123
S01102008.6,S01102008,6,100025877,2008-09-30 23:00,46.02483,-58.95267,2008,9,0,0,31,3.5,150
S01102008.7,S01102008,7,100025877,2008-09-30 23:00,45.95933,-58.83133,2008,9,0,0,34,3.881818182,159
S01102008.8,S01102008,8,100025877,2008-09-30 23:00,45.88317,-58.7755,2008,9,0,0,507,3.894202899,201
S01102008.9,S01102008,9,100025877,2008-09-30 23:00,45.87883,-58.61467,2008,9,0,0,508,4.384353741,240
S01102009.1,S01102009,1,100028837,2009-09-30 23:00,44.3115,-63.40417,2009,9,0,0,618,7.008130081,123
S01102009.12,S01102009,12,100028837,2009-09-30 23:00,44.54167,-62.637,2009,9,0,0,236,7.553030303,130
S01102009.13,S01102009,13,100028837,2009-09-30 23:00,44.52117,-62.47317,2009,9,0,0,231,8.859701493,145
S01102009.2,S01102009,2,100028837,2009-09-30 23:00,44.1895,-63.22817,2009,9,0,0,619,9.513669065,170
S01102009.3,S01102009,3,100028837,2009-09-30 23:00,44.30233,-63.23633,2009,9,0,0,542,9.151937984,157
S01102009.4,S01102009,4,100028837,2009-09-30 23:00,44.3615,-63.07217,2009,9,0,0,259,9.262204724,150
S01102009.5,S01102009,5,100028837,2009-09-30 23:00,44.42133,-63.03467,2009,9,0,0,258,8.516911765,141
S01102009.6,S01102009,6,100028837,2009-09-30 23:00,44.35417,-62.9185,2009,9,0,0,256,9.316296296,157
S01102009.7,S01102009,7,100028837,2009-09-30 23:00,44.43133,-62.75383,2009,9,0,0,241,8.814814815,141
S01102009.8,S01102009,8,100028837,2009-09-30 23:00,44.51067,-62.8375,2009,9,0,0,244,7.321126761,119
S01102009.9,S01102009,9,100028837,2009-09-30 23:00,44.5185,-62.69633,2009,9,0,0,240,7.979850746,124
S01102013.1,S01102013,1,100041757,2013-09-30 23:00,45.50517,-59.9465,2013,9,26.60662792,266.0662792,80,3.021682443,143
S01102013.2,S01102013,2,100041757,2013-09-30 23:00,45.47917,-60.10183,2013,9,58.23201899,582.3201899,605,3.204815323,174
S01102013.3,S01102013,3,100041757,2013-09-30 23:00,45.3715,-60.2235,2013,9,0,0,85,2.849093431,188
S01102013.4,S01102013,4,100041757,2013-09-30 23:00,45.30817,-60.23717,2013,9,0,0,84,2.67078629,156
S01102013.5,S01102013,5,100041757,2013-09-30 23:00,45.30967,-60.36217,2013,9,0,0,113,2.834454839,168
S01102014.1,S01102014,1,100044517,2014-09-30 23:00,46.58667,-60.00583,2014,9,0,0,10,2.8242552,102
S01102014.2,S01102014,2,100044517,2014-09-30 23:00,46.60767,-60.08217,2014,9,0,0,7,3.810119828,117
